"Product ID","Model Reference","Name","Category","Description","Database Version","Last Checked Date","Air Flow","Communication Protocol","Connection","Connection Type","Cooling","Cooling Type","Current","Drive Type","Efficiency","Flow Coefficient (Cv)","Flow Rate","FlowRate","Frame Size","Frequency","Gear Ratio","Head","Housing Material","IP Rating","Inlet Size","Input Power","Input Speed","Input Voltage","Insulation Class","Lubrication","Material","Maximum Pressure","Media Type","Mounting","Mounting Type","Noise Level","Nominal Diameter","Operating Temp","Operation","Outlet Size","Output Speed","Output Torque","Output Voltage","Power","Power Factor","Power Rating","Pressure","Pressure Rating","Protection Rating","Speed","Tank Capacity","Temperature","Valve Type","Voltage","Weight"
"P-100","P-100","Centrifugal Water Pump","Pumps","Industrial centrifugal pump for boosting water supply and fluid transport in HVAC and factory systems. Made of robust Grade 304 Stainless Steel for excellent service life.","2","18 Aug 2026","","","","","","","","","","","100 L/min","120 L/min","","","","32 m","","IP55","1.5 Inch","","","","","","Stainless Steel 304","10 bar","","","","","","-10°C to +90°C","","1.0 Inch","","","","5 kW","","","8 bar","","","1450 RPM","","80 C","","415 V","28 kg"
"P-101","P-101","High-Flow Centrifugal Pump","Pumps","Heavy-duty horizontal end-suction centrifugal pump built for high volume water transfer in utility and infrastructure tasks. Highly optimized impeller structure reduces cavitation risk.","1","18 Aug 2026","","","","","","","","","","","250 L/min","","","","","24 m","","IP55","2.0 Inch","","","","","","Stainless Steel 304","6 bar","","","","","","-10°C to +90°C","","1.5 Inch","","","","7.5 kW","","","","","","1450 RPM","","","","415 V","36 kg"
"P-102","P-102","High-Pressure Multistage Pump","Pumps","Vertical multistage centrifugal pump engineered to deliver high outlet pressures for boiler feed and reverse osmosis water purification systems.","1","18 Aug 2026","","","","","","","","","","","80 L/min","","","","","120 m","","IP55","1.5 Inch","","","","","","Cast Iron / SS304","25 bar","","","","","","-15°C to +120°C","","1.5 Inch","","","","11 kW","","","","","","2900 RPM","","","","415 V","65 kg"
"P-103","P-103","Chemical Process Transfer Pump","Pumps","Corrosion-resistant chemical transfer pump cast in Grade 316 Stainless Steel. Features chemical-grade double mechanical shaft seals to prevent dangerous fluid leaks.","1","18 Aug 2026","","","","","","","","","","","120 L/min","","","","","28 m","","IP55","1.5 Inch","","","","","","Stainless Steel 316","8 bar","","","","","","-20°C to +120°C","","1.25 Inch","","","","4 kW","","","","","","1450 RPM","","","","415 V","32 kg"
"P-104","P-104","Heavy-Duty Solids Handling Pump","Pumps","Vortex-impeller centrifugal pump designed to pump slurries, sewage, and effluent carrying suspended solids. Robust wear-resistant cast iron pump casing.","1","18 Aug 2026","","","","","","","","","","","500 L/min","","","","","16 m","","IP55","3.0 Inch","","","","","","Hardened Cast Iron","4 bar","","","","","","0°C to +60°C","","3.0 Inch","","","","7.5 kW","","","","","","1450 RPM","","","","415 V","72 kg"
"P-105","P-105","Bronze Inline Circulation Pump","Pumps","In-line canned rotor pump with marine bronze casing. Quiet running and maintenance-free. Ideal for hot water loops and secondary HVAC distribution.","1","18 Aug 2026","","","","","","","","","","","150 L/min","","","","","12 m","","IP44","2.0 Inch","","","","","","Marine Bronze","5 bar","","","","","","-10°C to +110°C","","2.0 Inch","","","","2.2 kW","","","","","","1440 RPM","","","","230 V","19 kg"
"P-106","P-106","High-Volume Industrial Water Pump","Pumps","Double-volute axial split pump for municipal water works and massive process cooling operations. Exceptionally high efficiency and easy split-case inspection.","1","18 Aug 2026","","","","","","","","","","","800 L/min","","","","","45 m","","IP55","4.0 Inch","","","","","","Cast Iron / SS316","8 bar","","","","","","-10°C to +80°C","","3.0 Inch","","","","15 kW","","","","","","1450 RPM","","","","415 V","115 kg"
"P-107","P-107","Submersible Drainage Pump","Pumps","Heavy duty submersible pump designed for pit drainage, basement bilge pumping, and emergency water extraction. Double mechanical seal running in oil bath.","1","18 Aug 2026","","","","","","","","","","","300 L/min","","","","","15 m","","IP68","2.5 Inch","","","","","","Stainless Steel 316","3 bar","","","","","","0°C to +40°C (Submerged)","","2.5 Inch","","","","3 kW","","","","","","2900 RPM","","","","415 V","24 kg"
"C-100","C-100","Variable Frequency Drive V100","Controllers","Standard industrial VFD for open-loop motor control. Promotes high torque at low frequencies, programmable I/O terminals, and Modbus RTU communications. Highly responsive overload protection.","1","18 Aug 2026","","Modbus RTU","","","Forced Air Cooling","","17 A","","","","","","","50/60 Hz","","","","","","","","380-415 V AC","","","","","","","Panel Mount / DIN Rail","","","-10°C to +50°C","","","","","0-415 V AC","","","7.5 kW","","","IP20","","","","","",""
"C-101","C-101","Heavy-Duty VFD V101","Controllers","Advanced heavy-duty VFD with vector control loop and Ethernet Profinet communication protocol. Built-in braking unit and integrated EMC filter for factory environments.","1","18 Aug 2026","","Profinet / Modbus TCP","","","Dual Internal Fans","","38 A","","","","","","","50/60 Hz","","","","","","","","380-415 V AC","","","","","","","Wall Mount","","","-10°C to +50°C","","","","","0-415 V AC","","","18.5 kW","","","IP54","","","","","",""
"C-102","C-102","Compact Micro VFD","Controllers","Space-saving single-phase input VFD designed for wall mount and DIN-rail layouts in small automation panels. Features standard speed potentiometer knob.","1","18 Aug 2026","","Modbus RTU","","","Natural Convection / Fan","","9.6 A","","","","","","","50/60 Hz","","","","","","","","200-240 V AC (1-Phase)","","","","","","","DIN Rail","","","-10°C to +40°C","","","","","0-240 V AC (3-Phase)","","","2.2 kW","","","IP20","","","","","",""
"C-103","C-103","Precision Servo Controller","Controllers","High-dynamics digital servo drive supporting EtherCAT communication. Offers precise position, velocity, and torque control loops for robotic arms and automated scanners.","1","18 Aug 2026","","EtherCAT / CANopen","","","Forced Fan","","12 A","","","","","","","0-400 Hz","","","","","","","","380-415 V AC","","","","","","","Panel Mount","","","0°C to +45°C","","","","","0-415 V AC","","","5.0 kW","","","IP20","","","","","",""
"C-104","C-104","Smart Motor Soft Starter","Controllers","Three-phase motor soft starter with internal bypass contactor. Reduces electrical inrush current and mechanical starting shock in heavy centrifugal loads.","1","18 Aug 2026","","Modbus RTU","","","Bypass Shunt / Convection","","32 A","","","","","","","50/60 Hz","","","","","","","","380-415 V AC","","","","","","","DIN Rail / Backplate","","","-10°C to +45°C","","","","","0-415 V AC","","","15 kW","","","IP20","","","","","",""
"C-105","C-105","Rugged NEMA 4X / IP65 Outdoor VFD","Controllers","Washdown-rated, outdoor-compatible dustproof and waterproof variable frequency drive. Housed in solid aluminum enclosure with tactile keypad controls.","1","18 Aug 2026","","Profinet / Modbus RTU","","","External Heat Sink","","16.5 A","","","","","","","50/60 Hz","","","","","","","","380-415 V AC","","","","","","","Wall Mount Outdoor","","","-20°C to +55°C","","","","","0-415 V AC","","","7.5 kW","","","IP65 (NEMA 4X)","","","","","",""
"GB-100","GB-100","Coaxial Helical Gearbox H100","Gearboxes","Compact in-line helical speed reducer offering smooth torque transmission, low noise levels, and high overload capacity. Pre-filled with synthetic lubricant.","1","18 Aug 2026","","","","","","","","","96%","","","","","","10:1","","High-Grade Grey Cast Iron","","","4 kW","1440 RPM","","","Synthetic ISO VG 220","","","","Foot Mount (H/V)","","","","","","","144 RPM","250 Nm","","","","","","","","","","","","","18 kg"
"GB-101","GB-101","Medium Coaxial Helical Gearbox H101","Gearboxes","Strong coaxial speed reducer designed for medium machinery drives. Hardened ground gears deliver peak mechanical efficiency and resistance to shock loads.","1","18 Aug 2026","","","","","","","","","95%","","","","","","20:1","","Cast Iron GG20","","","7.5 kW","1440 RPM","","","Synthetic ISO VG 320","","","","Foot Mount / Flange Out","","","","","","","72 RPM","580 Nm","","","","","","","","","","","","","34 kg"
"GB-102","GB-102","Right-Angle Worm Gearbox","Gearboxes","Space-saving right-angle speed reducer featuring hollow output shaft configuration and self-locking worm thread action. Highly resistant to reversal of load.","1","18 Aug 2026","","","","","","","","","88%","","","","","","40:1","","Die-Cast Aluminum","","","3 kW","1440 RPM","","","Polyglycol Oil PG 460","","","","Shaft Mounted Hollow","","","","","","","36 RPM","320 Nm","","","","","","","","","","","","","14 kg"
"GB-103","GB-103","Heavy-Duty Planetary Gearbox","Gearboxes","High-torque planetary speed reducer for heavy industrial plants. Coaxial multi-stage design allows massive torque distribution in a compact volumetric space.","1","18 Aug 2026","","","","","","","","","94%","","","","","","60:1","","Spheroidal Graphite Cast Iron","","","15 kW","1440 RPM","","","Mineral Oil ISO VG 220","","","","Flange Mount B14","","","","","","","24 RPM","1800 Nm","","","","","","","","","","","","","92 kg"
"GB-104","GB-104","Compact Helical-Bevel Gearbox","Gearboxes","Highly efficient 90-degree helical bevel speed reducer. Combines the space savings of a worm gearbox with the mechanical high efficiency (96%) of helical gear designs.","1","18 Aug 2026","","","","","","","","","96%","","","","","","5:1","","Die-Cast Aluminum","","","2.2 kW","1440 RPM","","","Synthetic ISO VG 150","","","","Foot / Flange Mount","","","","","","","288 RPM","120 Nm","","","","","","","","","","","","","11 kg"
"V-100","V-100","High-Performance Stainless Ball Valve","Valves","Full-port two-piece stainless steel ball valve with PTFE seals for high chemical compatibility and isolation flow control. Standard flanged connection.","2","18 Aug 2026","","","DN50","Flanged RF","","","","","","240","","","","","","","","","","","","","","","SS316","","Water, Chemicals, Mild Solvents","","","","DN50 (2 Inch)","-20°C to +180°C","Manual Handle / ISO Mount","","","","","","","","16 bar","PN16","","","","","Ball Valve","",""
"V-101","V-101","High-Pressure Cast Steel Gate Valve","Valves","Solid wedge gate valve for high-pressure isolation in power and heavy steam pipelines. Rising stem design provides clear visual indication of open/closed position.","1","18 Aug 2026","","","","Flanged RF PN40","","","","","","580","","","","","","","","","","","","","","","Carbon Steel WCB","","High-Pressure Steam, Water, Oil","","","","DN80 (3 Inch)","-29°C to +425°C","Handwheel Operated","","","","","","","","","PN40","","","","","Gate Valve","",""
"V-102","V-102","Pneumatic Actuated Butterfly Valve","Valves","Wafer-style butterfly valve with resilient EPDM liner, fitted with a double-acting pneumatic rotary actuator. Fast response control for municipal and industrial water lines.","1","18 Aug 2026","","","","Wafer (Bolted)","","","","","","620","","","","","","","","","","","","","","","Ductile Iron GGG40","","Water, Waste Slurry, Low-Pressure Air","","","","DN100 (4 Inch)","-10°C to +110°C","Pneumatic Double-Acting","","","","","","","","","PN10 / PN16","","","","","Butterfly Valve","",""
"V-103","V-103","Sanitary Threaded Globe Valve","Valves","High-precision sanitary globe valve with body machined from solid SS316. Threaded connection for easy washdowns in food, beverage, and biotech piping.","1","18 Aug 2026","","","","Threaded NPT / Tri-Clamp","","","","","","18","","","","","","","","","","","","","","","Stainless Steel 316L","","Food Juices, Sanitizers, Pure Steam","","","","DN25 (1 Inch)","-20°C to +150°C","Manual Handle / Digital Control","","","","","","","","","PN16","","","","","Globe Valve","",""
"V-104","V-104","Dual Plate Non-Return Check Valve","Valves","Compact dual-plate wafer check valve. Prevents damaging hydraulic surge backflow when pumps are shut down. Closes silently with spring-assisted spring action.","1","18 Aug 2026","","","","Wafer (Standard)","","","","","","310","","","","","","","","","","","","","","","Stainless Steel 316","","Water, Chemical Solvents, Oil","","","","DN80 (3 Inch)","-20°C to +200°C","Spring-Assisted Self-Closing","","","","","","","","","PN16","","","","","Check Valve","",""
"COMP-100","COMP-100","Heavy-Duty Reciprocating Air Compressor","Compressors","Cast-iron two-stage piston air compressor complete with safety-certified 270L air receiver tank. Fully automatic pressure switch control for general workshop air loops.","1","18 Aug 2026","600 L/min","","","","","Air Cooled - Flywheel Fan","","V-Belt Driven","","","","","","","","","","","","","","","","","","10 bar","","","","75 dB(A)","","5°C to 45°C","","","","","","5.5 kW","","","","","","1440 RPM","270 L","","","415 V","165 kg"
"COMP-101","COMP-101","High-Capacity Rotary Screw Compressor","Compressors","Industrial continuous duty rotary screw air compressor. Tankless package includes integrated refrigerant dryer and line filters for extremely dry, oil-free industrial instrumentation air.","1","18 Aug 2026","3000 L/min","","","","","Oil Injected / Air Cooler","","Direct Coaxial Drive","","","","","","","","","","","","","","","","","","13 bar","","","","68 dB(A)","","5°C to 45°C","","","","","","22 kW","","","","","","2900 RPM","Tankless (Continuous Loop)","","","415 V","480 kg"
"COMP-102","COMP-102","Silent Rotary Scroll Compressor","Compressors","Ultra-quiet, 100% oil-free rotary scroll compressor. Engineered for lab, medical research, and precision clean manufacturing setups where oil fumes cannot be tolerated.","1","18 Aug 2026","800 L/min","","","","","Forced Air Cooled","","Direct Belt Drive","","","","","","","","","","","","","","","","","","8 bar","","","","62 dB(A)","","5°C to 40°C","","","","","","7.5 kW","","","","","","2900 RPM","200 L","","","415 V","145 kg"
"COMP-103","COMP-103","Portable Site Air Compressor","Compressors","Ruggedized portable air compressor mounted on heavy-duty steel wheels. Built-in cage frame protects internal parts from dust and drops on construction sites.","1","18 Aug 2026","1200 L/min","","","","","Air Cooled","","Belt Driven Engine","","","","","","","","","","","","","","","","","","10 bar","","","","78 dB(A)","","-5°C to +45°C","","","","","","11 kW","","","","","","1440 RPM","500 L","","","415 V","290 kg"
